"List[[1]]","List[[2]]","List[[3]]","1415.4700608742305*NIntegrate[Re[Activate[gwMechCouplingIntegrandFixedGWVarMechCart2Sphere[List[[1]], List[[2]], List[[3]], 0.2, ""C0"", ""D0"", 0., 0., ""C2"", ""D2"", r, θ, ϕ, 0.] /. Quiet[StringJoin[""m"", ToString[List[[1]]], ""n"", ToString[List[[2]]], ""l"", ToString[List[[3]]]] /. MODES[[1]]]]], {r, 0.2, 0.20500000000000002}, {θ, 0., Pi}, {ϕ, -Pi, Pi}, Method -> ""AdaptiveMonteCarlo"", MaxPoints -> 10^5, PrecisionGoal -> 2]"
4,0,0,"1415.4700608742305*NIntegrate[Re[Activate[gwMechCouplingIntegrandFixedGWVarMechCart2Sphere[4, 0, 0, 0.2, ""C0"", ""D0"", 0., 0., ""C2"", ""D2"", r, θ, ϕ, 0.] /. Quiet[StringJoin[""m"", ToString[4], ""n"", ToString[0], ""l"", ToString[0]] /. MODES[[1]]]]], {r, 0.2, 0.20500000000000002}, {θ, 0., Pi}, {ϕ, -Pi, Pi}, Method -> ""AdaptiveMonteCarlo"", MaxPoints -> 10^5, PrecisionGoal -> 2]"
4,1,0,"1415.4700608742305*NIntegrate[Re[Activate[gwMechCouplingIntegrandFixedGWVarMechCart2Sphere[4, 1, 0, 0.2, ""C0"", ""D0"", 0., 0., ""C2"", ""D2"", r, θ, ϕ, 0.] /. Quiet[StringJoin[""m"", ToString[4], ""n"", ToString[1], ""l"", ToString[0]] /. MODES[[1]]]]], {r, 0.2, 0.20500000000000002}, {θ, 0., Pi}, {ϕ, -Pi, Pi}, Method -> ""AdaptiveMonteCarlo"", MaxPoints -> 10^5, PrecisionGoal -> 2]"
4,0,1,"1415.4700608742305*NIntegrate[Re[Activate[gwMechCouplingIntegrandFixedGWVarMechCart2Sphere[4, 0, 1, 0.2, ""C0"", ""D0"", 0., 0., ""C2"", ""D2"", r, θ, ϕ, 0.] /. Quiet[StringJoin[""m"", ToString[4], ""n"", ToString[0], ""l"", ToString[1]] /. MODES[[1]]]]], {r, 0.2, 0.20500000000000002}, {θ, 0., Pi}, {ϕ, -Pi, Pi}, Method -> ""AdaptiveMonteCarlo"", MaxPoints -> 10^5, PrecisionGoal -> 2]"
4,1,1,"1415.4700608742305*NIntegrate[Re[Activate[gwMechCouplingIntegrandFixedGWVarMechCart2Sphere[4, 1, 1, 0.2, ""C0"", ""D0"", 0., 0., ""C2"", ""D2"", r, θ, ϕ, 0.] /. Quiet[StringJoin[""m"", ToString[4], ""n"", ToString[1], ""l"", ToString[1]] /. MODES[[1]]]]], {r, 0.2, 0.20500000000000002}, {θ, 0., Pi}, {ϕ, -Pi, Pi}, Method -> ""AdaptiveMonteCarlo"", MaxPoints -> 10^5, PrecisionGoal -> 2]"
5,1,0,"1415.4700608742305*NIntegrate[Re[Activate[gwMechCouplingIntegrandFixedGWVarMechCart2Sphere[5, 1, 0, 0.2, ""C0"", ""D0"", 0., 0., ""C2"", ""D2"", r, θ, ϕ, 0.] /. Quiet[StringJoin[""m"", ToString[5], ""n"", ToString[1], ""l"", ToString[0]] /. MODES[[1]]]]], {r, 0.2, 0.20500000000000002}, {θ, 0., Pi}, {ϕ, -Pi, Pi}, Method -> ""AdaptiveMonteCarlo"", MaxPoints -> 10^5, PrecisionGoal -> 2]"
6,1,0,"1415.4700608742305*NIntegrate[Re[Activate[gwMechCouplingIntegrandFixedGWVarMechCart2Sphere[6, 1, 0, 0.2, ""C0"", ""D0"", 0., 0., ""C2"", ""D2"", r, θ, ϕ, 0.] /. Quiet[StringJoin[""m"", ToString[6], ""n"", ToString[1], ""l"", ToString[0]] /. MODES[[1]]]]], {r, 0.2, 0.20500000000000002}, {θ, 0., Pi}, {ϕ, -Pi, Pi}, Method -> ""AdaptiveMonteCarlo"", MaxPoints -> 10^5, PrecisionGoal -> 2]"
7,1,0,"1415.4700608742305*NIntegrate[Re[Activate[gwMechCouplingIntegrandFixedGWVarMechCart2Sphere[7, 1, 0, 0.2, ""C0"", ""D0"", 0., 0., ""C2"", ""D2"", r, θ, ϕ, 0.] /. Quiet[StringJoin[""m"", ToString[7], ""n"", ToString[1], ""l"", ToString[0]] /. MODES[[1]]]]], {r, 0.2, 0.20500000000000002}, {θ, 0., Pi}, {ϕ, -Pi, Pi}, Method -> ""AdaptiveMonteCarlo"", MaxPoints -> 10^5, PrecisionGoal -> 2]"
8,1,0,"1415.4700608742305*NIntegrate[Re[Activate[gwMechCouplingIntegrandFixedGWVarMechCart2Sphere[8, 1, 0, 0.2, ""C0"", ""D0"", 0., 0., ""C2"", ""D2"", r, θ, ϕ, 0.] /. Quiet[StringJoin[""m"", ToString[8], ""n"", ToString[1], ""l"", ToString[0]] /. MODES[[1]]]]], {r, 0.2, 0.20500000000000002}, {θ, 0., Pi}, {ϕ, -Pi, Pi}, Method -> ""AdaptiveMonteCarlo"", MaxPoints -> 10^5, PrecisionGoal -> 2]"
9,1,0,"1415.4700608742305*NIntegrate[Re[Activate[gwMechCouplingIntegrandFixedGWVarMechCart2Sphere[9, 1, 0, 0.2, ""C0"", ""D0"", 0., 0., ""C2"", ""D2"", r, θ, ϕ, 0.] /. Quiet[StringJoin[""m"", ToString[9], ""n"", ToString[1], ""l"", ToString[0]] /. MODES[[1]]]]], {r, 0.2, 0.20500000000000002}, {θ, 0., Pi}, {ϕ, -Pi, Pi}, Method -> ""AdaptiveMonteCarlo"", MaxPoints -> 10^5, PrecisionGoal -> 2]"
10,1,0,"1415.4700608742305*NIntegrate[Re[Activate[gwMechCouplingIntegrandFixedGWVarMechCart2Sphere[10, 1, 0, 0.2, ""C0"", ""D0"", 0., 0., ""C2"", ""D2"", r, θ, ϕ, 0.] /. Quiet[StringJoin[""m"", ToString[10], ""n"", ToString[1], ""l"", ToString[0]] /. MODES[[1]]]]], {r, 0.2, 0.20500000000000002}, {θ, 0., Pi}, {ϕ, -Pi, Pi}, Method -> ""AdaptiveMonteCarlo"", MaxPoints -> 10^5, PrecisionGoal -> 2]"
2,0,0,0.00034825848459777055
2,1,0,-0.00034040508828395264
2,2,0,-0.0008186495756326229
2,3,0,7.09798931449569e-6
